<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20131212,000000,289.9966400,290.2260500,288.0440900,288.2480100,0
20131213,000000,289.1503600,289.4817300,287.3456600,288.4978100,0
20131216,000000,289.6601700,291.6433000,288.6507500,289.2166400,0
20131217,000000,289.2064400,289.2064400,286.1527200,287.5648700,0
20131218,000000,288.3652600,294.2891800,286.8562500,294.2076100,0
20131219,000000,293.5499700,293.6366300,292.0868300,293.4531000,0
20131220,000000,293.7844700,296.1499600,293.7844700,295.2425100,0
20131223,000000,296.2774200,297.0472200,296.0887900,296.7260400,0
20131224,000000,296.7617300,296.9350600,295.9766300,296.5374100,0
20131226,000000,297.0982000,298.3931000,296.9146700,298.3931000,0
20131227,000000,298.6785900,299.1731000,297.5774100,297.9750600,0
20131230,000000,298.0056500,298.5919200,296.5476100,298.5868200,0
20131231,000000,298.7346700,299.0201600,297.4244700,298.4950600,0
20140102,000000,297.9597700,298.2452600,296.2162400,296.9707500,0
20140103,000000,297.3327100,298.8315300,297.2511400,297.5468300,0
20140106,000000,298.2350600,299.1221200,295.8389800,296.3487900,0
20140107,000000,297.0829000,300.5036900,297.0625100,299.7338800,0
20140108,000000,299.6931000,302.7315300,299.6115300,302.4562300,0
20140109,000000,303.0680000,304.7248600,302.0738800,304.5464300,0
20140110,000000,304.7809400,306.0554500,303.0985900,306.0452500,0
20140113,000000,306.3052500,308.1966200,303.2719200,304.0621100,0
20140114,000000,304.8778000,308.4566200,304.2252500,308.3138800,0
20140115,000000,308.4464200,308.6605400,307.2178000,308.0334800,0
20140116,000000,307.9621100,309.2570100,307.5797600,308.9664200,0
20140117,000000,309.3079900,310.0523100,308.0385800,308.9562300,0
20140121,000000,310.4805400,310.9699500,308.1660300,310.6385800,0
20140122,000000,311.2044600,311.2809300,309.8279900,310.8934800,0
20140123,000000,310.1032900,310.1032900,307.0138800,308.7778000,0
20140124,000000,307.4064300,307.4166200,301.3295700,301.3295700,0
20140127,000000,301.5487800,301.6150600,297.3582000,298.5817300,0
20140128,000000,300.0193700,303.7205500,300.0040800,302.5021200,0
20140129,000000,300.3405500,302.9660400,298.9131000,299.9938800,0
20140130,000000,302.0076100,305.8923100,302.0076100,305.1938800,0
20140131,000000,303.2617200,304.5770200,301.3040800,302.8844700,0
20140203,000000,303.7307400,304.2303500,296.0174200,296.3436900,16
20140204,000000,298.1891800,299.6319200,297.2970200,299.3158400,4
20140205,000000,298.6378100,299.4229000,295.1150600,297.6640800,0
20140206,000000,297.9648600,299.5146700,297.7201600,298.6989800,1560
20140207,000000,299.4025100,304.3017200,298.9029000,304.2456400,0
20140210,000000,304.0417200,307.4166200,304.0417200,307.4166200,0
20140211,000000,307.2993700,311.3421100,306.9170100,311.1381900,0
20140212,000000,311.2095600,312.9276000,310.4448600,311.0974000,0
20140213,000000,309.4456400,313.7840700,309.2519100,313.7025000,0
20140214,000000,313.6311300,315.2166200,313.0346600,314.6966200,0
20140218,000000,315.1758300,318.7597500,315.1758300,317.9950500,0
20140219,000000,317.5617100,318.9891600,315.5683800,315.8283800,0
20140220,000000,316.0934800,319.5091600,315.3287700,319.0197500,0
20140221,000000,318.9789700,320.7836700,318.1734800,318.6323000,0
20140224,000000,319.1930800,322.8840600,319.1930800,321.1303400,0
20140225,000000,321.3699400,321.9613200,319.2746500,320.1719100,0
20140226,000000,319.9730800,321.9511200,319.3358300,320.0444600,0
20140227,000000,320.0750400,322.0479800,319.2134800,321.8083800,0
20140228,000000,321.9256300,324.5103300,318.3825000,320.8397500,0
20140303,000000,318.7648500,319.8762200,316.4860300,318.7240600,0
20140304,000000,320.4675900,325.0915100,320.4675900,324.6428800,0
20140305,000000,324.8672000,324.9181800,323.1899400,323.9036700,0
20140306,000000,324.7040600,326.3252300,320.6205300,321.2221000,0
20140307,000000,322.4558300,322.9707300,318.4334800,320.6664100,0
20140310,000000,320.4064100,321.7013200,318.6781800,321.6656300,0
20140311,000000,321.7879800,323.3224900,320.2228900,320.7836700,0
20140312,000000,319.9730800,321.2119100,318.5558300,320.8958300,0
20140313,000000,321.3648500,321.7421000,315.2166200,315.9609300,0
20140314,000000,315.0840700,316.8377900,314.0185800,314.5793600,0
20140317,000000,316.0119100,318.8668100,316.0119100,317.2864200,0
20140318,000000,317.8370100,321.7217100,317.8370100,321.3801400,0
20140319,000000,321.6146500,323.1338600,318.5405300,320.3197500,0
20140320,000000,319.9068100,320.6613200,318.6272000,320.0393600,0
20140321,000000,321.3342600,322.3283700,313.5852400,314.8954400,0
20140324,000000,315.2064200,315.2064200,307.5542700,310.1491700,0
20140325,000000,311.4848500,315.0381800,309.4252500,312.3464200,0
20140326,000000,313.5393600,316.5726900,312.3107400,312.3107400,0
20140327,000000,312.1323000,313.5699500,309.0276000,312.0507400,0
20140328,000000,312.4483800,315.7926900,309.5119100,310.4448600,0
20140331,000000,311.8468100,315.3032800,311.8468100,315.0025000,0
20140401,000000,316.5217100,319.1268100,315.3236700,317.6279900,0
20140402,000000,318.2856300,318.9432800,317.1436700,318.6526900,0
20140403,000000,318.9330800,319.4428900,315.3746600,317.2303400,0
20140404,000000,318.6221000,320.2534700,311.5868100,311.9283800,0
20140407,000000,310.6997600,313.8350500,307.2483900,308.7778000,0
20140408,000000,308.5127000,308.6146600,304.5617200,306.6213300,0
20140409,000000,307.5134800,313.2589700,307.2687800,313.2181900,0
20140410,000000,312.7389700,313.2334800,301.7934900,302.7927000,0
20140411,000000,300.9013300,304.7452500,299.1017300,299.1731000,0
20140414,000000,300.9931000,302.5989800,297.1542800,300.4629000,0
20140415,000000,301.5895700,304.3781900,296.9605500,303.5676100,0
20140416,000000,305.2091700,306.4378000,303.4299600,305.3927000,0
20140417,000000,305.5813300,306.8762300,303.6950600,305.2295600,0
20140421,000000,305.9432900,309.0632900,305.4283900,309.0632900,0
20140422,000000,310.2154400,314.3448500,310.2154400,312.7695600,0
20140423,000000,313.2487700,313.3048500,310.0828900,311.2299500,0
20140424,000000,311.8774000,312.1068100,307.6154500,310.7048500,0
20140425,000000,310.5315200,310.9852500,307.8397600,308.4209300,0
20140428,000000,309.3895600,312.3617200,305.9942700,309.9707400,0
20140429,000000,310.8017200,312.3668100,309.7668200,312.0456400,0
20140430,000000,310.6946600,312.7083800,310.2970100,312.4381900,0
20140501,000000,312.7134800,315.3083800,310.8934800,313.5342600,0
20140502,000000,313.6617200,313.6617200,310.2817200,311.1381900,0
20140505,000000,309.6342700,313.1417100,307.9723100,313.0448500,0
20140506,000000,312.6472100,312.9632800,310.2205400,310.2307400,0
20140507,000000,310.3174000,310.9750500,306.6876000,310.8985800,0
20140508,000000,310.4907400,312.8664200,308.2323100,308.9358400,0
20140509,000000,308.7523100,311.1330900,307.0036800,310.8628900,0
20140512,000000,311.7499500,314.4927000,311.7499500,314.2989700,0
20140513,000000,314.6660300,315.6244600,314.1460300,314.3346500,0
20140514,000000,314.1103400,315.5938700,313.2181900,314.5334800,0
20140515,000000,313.8962200,313.8962200,309.7107400,311.3115200,0
20140516,000000,311.3828900,312.4789700,309.8534800,312.1577900,0
20140519,000000,311.9232900,314.4774000,311.5868100,314.4774000,0
20140520,000000,314.2174000,314.3244600,311.1942700,312.1527000,0
20140521,000000,312.6064200,314.8342600,312.6064200,314.4519100,0
20140522,000000,314.0746600,317.4087700,313.5393600,316.1036700,0
20140523,000000,315.9609300,317.0060300,315.2930900,316.4707300,0
20140527,000000,317.4699500,318.5558300,316.6236700,318.4640600,0
20140528,000000,318.7393600,319.0758300,317.3577900,317.4444600,0
20140529,000000,317.8217100,319.5448500,317.8217100,319.5448500,0
20140530,000000,319.4581800,320.4115100,318.8566100,320.2432800,0
20140602,000000,320.4930800,320.8244500,318.0919100,320.7479800,0
20140603,000000,320.3044600,321.6146500,319.6824900,321.4872000,0
20140604,000000,320.9875900,322.5017100,320.3146500,322.4456300,0
20140605,000000,322.3742600,324.3421000,320.8652400,323.3479800,0
20140606,000000,323.9750400,324.0973900,322.5017100,323.1797500,0
20140609,000000,322.8840600,322.8840600,321.1660200,321.9817100,0
20140610,000000,321.7166100,322.8177900,319.8762200,322.8177900,0
20140611,000000,322.3181800,323.1644500,321.5789600,322.5781800,0
20140612,000000,322.1193500,322.3742600,320.0801400,320.8295500,0
20140613,000000,321.0793600,321.2323000,319.6213200,320.7836700,0
20140616,000000,320.5848500,323.7609200,320.1872000,321.3852400,0
20140617,000000,321.0232800,321.9868100,320.3044600,321.1405300,0
20140618,000000,321.0691600,323.7711200,320.6052400,323.7456300,0
20140619,000000,324.1534700,324.9487600,323.5366100,324.9487600,0
20140620,000000,325.2087700,328.0636600,325.2087700,328.0075900,0
20140623,000000,328.0891500,328.5683700,326.4832700,326.8605300,0
20140624,000000,326.8452300,329.4758200,326.3150400,326.6617000,0
20140625,000000,326.6464100,330.1844500,326.6464100,330.0213100,0
20140626,000000,329.8428800,330.0926800,327.6048400,330.0111100,0
20140627,000000,329.8326800,330.1487600,328.2930800,329.4197400,0
20140630,000000,329.3891500,330.4699400,328.1350400,328.5173900,0
20140701,000000,329.3585600,333.3197400,329.3585600,332.8864100,0
20140702,000000,332.7385600,335.1448400,332.2236600,335.1397400,0
20140703,000000,335.5934600,336.5620900,334.3699300,336.4550300,0
20140707,000000,335.9197400,336.4244400,333.1719000,333.3503300,0
20140708,000000,332.9322900,332.9322900,328.7722900,329.9856200,0
20140709,000000,330.1895500,331.6475800,328.9558200,331.2907200,0
20140710,000000,329.2515100,331.8617000,327.3346500,331.1122900,0
20140711,000000,331.1887600,331.8922900,329.5879800,331.5966000,0
20140714,000000,332.7742500,333.2942500,332.0605200,332.8405200,0
20140715,000000,332.9271900,333.2483700,328.7162100,329.3789600,0
20140716,000000,330.0315100,330.3628800,327.2479800,328.6193500,0
20140717,000000,327.4315100,330.0671900,324.4134700,324.8315100,0
20140718,000000,325.1017100,330.8471900,325.1017100,330.3373900,0
20140721,000000,329.5726800,329.5726800,327.7068000,329.1291500,0
20140722,000000,330.0519000,332.9068000,330.0315100,331.7801300,0
20140723,000000,334.2373900,334.9613100,333.3452300,334.6146400,0
20140724,000000,334.7777800,335.4099300,333.2585600,333.6511100,0
20140725,000000,333.2738600,333.2738600,330.6738600,332.3817000,0
20140728,000000,332.4632700,333.2024800,330.6585600,332.6162100,0
20140729,000000,332.9373900,334.3546400,332.3460100,333.0036600,0
